invoice_no,company_name,item_description,category,quantity,unit_price,subtotal,tax,total
QT-250123-035,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,395.0,31.6,426.6
QT-250123-035,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,395.0,31.6,426.6
QT-250124-040,City Management,BASIC AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,42.5,335.0,26.8,361.8
QT-250124-040,City Management,TO PERFORM CHEMICAL WASH & CLEAN FOR OUTDOOR ONLY (3-5HP),Aircon Servicing,1,127.5,335.0,26.8,361.8
QT-250124-040,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,335.0,26.8,361.8
QT-250124-040,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,335.0,26.8,361.8
QT-250123-038,City Management,CLEAR MINOR BLOCKAGE AND FIX WATER LEAKAGE,Plumber,1,120.0,285.0,22.8,307.8
QT-250123-038,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,285.0,22.8,307.8
QT-250123-038,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,285.0,22.8,307.8
QT-250124-051,City Management,CHEMICAL AIR COND SERVICING ( CASSETTE TYE UNIT ) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,537.5,43.0,580.5
QT-250124-051,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,537.5,43.0,580.5
QT-250124-051,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,537.5,43.0,580.5
QT-250123-037,City Management,TO SUPPLY & REPLACE POLYPIPE 25MM SIRIM APPROVED WATER PIPE INCLUDING ACCESSORIES- EXPOSED,Plumber,5,10.2,412.2,32.98,445.18
QT-250123-037,City Management,TO SUPPLY AND REPLACE ELBOW 25MM,Plumber,2,35.0,412.2,32.98,445.18
QT-250123-037,City Management,TO SUPPLY AND REPLACE 2'X4' CEILING BOARD (BELOW SNO5),Plumber,4,15.3,412.2,32.98,445.18
QT-250123-037,City Management,CITY LABOUR CHARGE,Labour Charge,8,16.25,412.2,32.98,445.18
QT-250123-037,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,412.2,32.98,445.18
QT-250124-046,City Management,CHEMICAL AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,340.0,537.5,43.0,580.5
QT-250124-046,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,537.5,43.0,580.5
QT-250124-046,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,537.5,43.0,580.5
QT-250124-042,City Management,BASIC AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,42.5,335.0,26.8,361.8
QT-250124-042,City Management,TO PERFORM CHEMICAL WASH & CLEAN FOR OUTDOOR ONLY (3-5HP),Aircon Servicing,1,127.5,335.0,26.8,361.8
QT-250124-042,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,335.0,26.8,361.8
QT-250124-042,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,335.0,26.8,361.8
QT-250124-049,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,521.25,41.7,562.95
QT-250124-049,City Management,CITY LABOUR CHARGE,Labour Charge,5,16.25,521.25,41.7,562.95
QT-250124-049,City Management,TRANSPORTATION - KLANG VALLEY,Transportation,1,100.0,521.25,41.7,562.95
QT-250124-050,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,521.25,41.7,562.95
QT-250124-050,City Management,CITY LABOUR CHARGE,Labour Charge,5,16.25,521.25,41.7,562.95
QT-250124-050,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,521.25,41.7,562.95
QT-250107-006,Espresso (M) SDN BHD,To supply and install new water tap at counter sink (*single tap gooseneck),Plumber,1,180.0,180.0,14.4,194.4
QT-250116-015,Espresso (M) SDN BHD,WELD GULLY TRAP SUPPORT,Plumber,1,400.0,400.0,32.0,432.0
QT-250116-016,Espresso (M) SDN BHD,TO SUPPLY AND REPLACE NEW TOILET CISTERN PUMP (REMOVE EXISTING AND INSTALL NEW),Plumber,1,200.0,400.0,32.0,432.0
QT-250116-016,Espresso (M) SDN BHD,TOILET CISTERN FLOAT BALL,Plumber,1,100.0,400.0,32.0,432.0
QT-250116-016,Espresso (M) SDN BHD,TOILET CISTERN HANDLE/PRESS BUTTON,Plumber,1,100.0,400.0,32.0,432.0
QT-250116-022,Espresso (M) SDN BHD,REPLACE FLEXIBLE HOSE,Plumber,1,180.0,180.0,14.4,194.4
QT-250116-017,Espresso (M) SDN BHD,SEAL PIPE GAP,Plumber,1,180.0,180.0,14.4,194.4
QT-250116-021,Espresso (M) SDN BHD,MODIFY GULLY TRAP TO ALIGN,Plumber,1,400.0,400.0,32.0,432.0
QT-241219-019,FARM SDN BHD,REMOVE TOILET BOWLS,Plumber,2,80.0,4720.0,377.6,5097.6
QT-241219-019,FARM SDN BHD,HACK AND DISPOSAL OF THE FLOOR TILES AND CONCRETE FOR TWO TOILETS,Plumber,2,680.0,4720.0,377.6,5097.6
QT-241219-019,FARM SDN BHD,"INSTALL NEW DRAIN LINES WITH DOWN PIPES, CONNECTING TO MANHOLE AND APPLY WATERPROOFING",Plumber,2,1100.0,4720.0,377.6,5097.6
QT-241219-019,FARM SDN BHD,SUPPLY AND REBUILD CONCRETE FLOOR AND TILES FOR BOTH TOILETS *INCLUDING REINSTALL TOILET BOWLS,Plumber,2,500.0,4720.0,377.6,5097.6
QT-241230-012,LIFE SDN BHD,FIX INTERNAL PIPE LEAKING,Plumber,1,3850.0,3850.0,308.0,4158.0
QT-241220-022,FARM SDN BHD,DESLUDGING WORK AND INSTALLING NETTING FOR DRAIN,Plumber,1,750.0,750.0,60.0,810.0
QT-250102-001,GFXEX,CHEMICAL SERVICE INDOOR AND OUTDOOR WALL UNIT 1HP,Aircon Servicing,1,150.0,750.0,60.0,810.0
QT-250102-001,GFXEX,CHEMICAL SERVICE INDOOR AND OUTDOOR WALL UNIT 2HP,Aircon Servicing,4,150.0,750.0,60.0,810.0
QT-250102-001,GFXEX,GAS TOP-UP IS CHARGED PRICE BELOW: R-410: RM20 PER 10 PSI R-22: RM10 PER 10 PSI R-32: RM20 PER 10 PSI,Aircon Servicing,1,0.0,750.0,60.0,810.0
QT-241222-002,FARM SDN BHD,Inspection charge for broken water tank,Plumber,1,200.0,200.0,16.0,216.0
QT-241224-006,FARM SDN BHD,TO SUPPLY AND REPLACE DAMAGED PIPE,Plumber,1,3500.0,4400.0,352.0,4752.0
QT-241224-006,FARM SDN BHD,TO REPAIR ANY LEAKAGE IN DRAINAGE,Plumber,1,500.0,4400.0,352.0,4752.0
QT-241224-006,FARM SDN BHD,LABOUR COST,Labour Charge,1,400.0,4400.0,352.0,4752.0
QT-241220-021,FARM SDN BHD,TO SUPPLY AND INSTALL DAIKIN 1.5HP WALL MOUNTED R32 GAS (NON-INVERTER),Aircon Installation,1,2180.0,2480.0,198.4,2678.4
QT-241220-021,FARM SDN BHD,TO SUPPLY EXTRA COPPER PIPING,Aircon Installation,12,25.0,2480.0,198.4,2678.4
QT-241217-016,GFXEX,SUPPLY & REFILL R 32 GAS-RM20/ 10PSI,Aircon Servicing,11,20.0,220.0,17.6,237.6
QT-241217-010,Liveln Sdn Bhd,"TO SUPPLY AND INSTALL HAIER WALL MOUNTED 1.0HP R32
• NON-INVERTER
• MODEL : HSU-10LPA23
• DISMANTLE OLD UNIT AND INSTALL NEW UNIT",Aircon Installation,1,1500.0,1500.0,120.0,1620.0
QT-241217-011,GFXEX,TO REPLACE AND INSTALL NEW COMPRESSOR FAN MOTOR WITH LABOUR,Aircon Servicing,1,540.0,690.0,55.2,745.2
QT-241217-011,GFXEX,CHEMICAL SERVICE INDOOR AND OUTDOOR WALL UNIT 2HP,Aircon Servicing,1,150.0,690.0,55.2,745.2
QT-241217-011,GFXEX,GAS TOP-UP IS CHARGED PRICE BELOW: R-410: RM20 PER 10 PSI R-22: RM10 PER 10 PSI R-32: RM20 PER 10 PSI,Aircon Servicing,1,0.0,690.0,55.2,745.2
QT-241217-012,GFXEX,"SUPPLY AND INSTALL BRAND NEW ACSON 2HP NON-INVERTER AIR CONDITIONER WITH R410 GAS
1 YEAR GENERAL WARRANTY + 5 YEARS MOTOR COMPRESSOR WARRANTY",Aircon Installation,1,3000.0,3560.0,284.8,3844.8
QT-241217-012,GFXEX,REPLACE COPPER PIPE 20FT,Aircon Installation,20,28.0,3560.0,284.8,3844.8
QT-241217-012,GFXEX,DISMANTLE AND DISPOSAL OF OLD UNIT (F.O.C),Aircon Installation,1,0.0,3560.0,284.8,3844.8
QT-241213-004,GFXEX,Chemical service indoor and outdoor wall unit 1HP,Aircon Servicing,1,150.0,1200.0,96.0,1296.0
QT-241213-004,GFXEX,Chemical service indoor and outdoor wall unit 1.5HP,Aircon Servicing,2,150.0,1200.0,96.0,1296.0
QT-241213-004,GFXEX,Chemical service indoor and outdoor wall unit 2HP,Aircon Servicing,5,150.0,1200.0,96.0,1296.0
QT-241213-005,City Management,SUPPLY AND INSTALL COMPRESSOR C/W WELDING,Aircon Servicing,1,2690.0,3500.5,280.04,3780.54
QT-241213-005,City Management,SUPPLY & REPLACE FILTER DRIER C/W WELDING OR FLARE NUT,Aircon Servicing,1,68.0,3500.5,280.04,3780.54
QT-241213-005,City Management,"TO VACUUM, REFILL R507 REFRIGERANT GAS W/ TESTING",Aircon Servicing,1,350.0,3500.5,280.04,3780.54
QT-241213-005,City Management,TRANSPORT CHARGES WITHIN KLANG VALLEY,Transportation,1,100.0,3500.5,280.04,3780.54
QT-241213-005,City Management,LABOUR,Labour Charge,18,16.25,3500.5,280.04,3780.54
IPM241231-001,FARM SDN BHD,"OPEN MAN DRAINED WHOLE AND CLEAN ALL THE PIPES, CLEAN SUB DRAINED AND CLEAN ALL THE PIPES 02 UNITS, REMOVE CLOGGED AND REMOVE FOREIGN OBJECT INSIDE BLOCKS",Plumber,1,1150.0,1150.0,92.0,1242.0
QT-250124-052,City Management,"SANITARY PLUMBING WORK- TO CLEAR MINOR BLOCKAGE (TOILET, SINK AREA & ALL OUTLET PIPE)",Plumber,1,127.5,292.5,23.4,315.9
QT-250124-052,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,292.5,23.4,315.9
QT-250124-052,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,292.5,23.4,315.9
QT-250124-043,City Management,BASIC AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,42.5,335.0,26.8,361.8
QT-250124-043,City Management,TO PERFORM CHEMICAL WASH & CLEAN FOR OUTDOOR ONLY (3-5HP),Aircon Servicing,1,127.5,335.0,26.8,361.8
QT-250124-043,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,335.0,26.8,361.8
QT-250124-043,City Management,TRANSPORTATION - KLANG VALLEY,Transportation,1,100.0,335.0,26.8,361.8
QT-250124-047,Viva La,TO SUPPLY AND REPLACE EXISTING WATER STORAGE HEATER TANK 45 LITRE,Plumber,1,1800.0,2550.0,204.0,2754.0
QT-250124-047,Viva La,REPAIR AND TOUCH UP PLASTER CEILING HOLE WITH PAINTING,Plumber,1,750.0,2550.0,204.0,2754.0
QT-250124-053,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYPE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,537.5,43.0,580.5
QT-250124-053,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,537.5,43.0,580.5
QT-250124-053,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,537.5,43.0,580.5
QT-250124-041,City Management,TOP UP/ REFILL R22GAS1.0 HP TO 3.0 HP (30PSI),Aircon Servicing,1,30.0,162.5,13.0,175.5
QT-250124-041,City Management,CITY LABOUR CHARGE,Labour Charge,2,16.25,162.5,13.0,175.5
QT-250124-041,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,162.5,13.0,175.5
QT-250124-039,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYPE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,699.5,55.96,755.46
QT-250124-039,City Management,TO SUPPLY AND REPLACE 2'X2' CEILING BOARD (BELOW 5NOS),Aircon Servicing,1,12.0,699.5,55.96,755.46
QT-250124-039,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,699.5,55.96,755.46
QT-250124-039,City Management,TRANSPORTATION- NON KLANG VALLEY,Transportation,1,250.0,699.5,55.96,755.46
QT-250123-035,City Management,PLUMBING WORKS,Plumber,1,230.0,395.0,31.6,426.6
QT-250123-035,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,395.0,31.6,426.6
QT-250123-035,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,395.0,31.6,426.6
QT-250124-040,City Management,BASIC AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,42.5,335.0,26.8,361.8
QT-250124-040,City Management,TO PERFORM CHEMICAL WASH & CLEAN FOR OUTDOOR ONLY (3-5HP),Aircon Servicing,1,127.5,335.0,26.8,361.8
QT-250124-040,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,335.0,26.8,361.8
QT-250124-040,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,335.0,26.8,361.8
QT-250123-038,City Management,CLEAR MINOR BLOCKAGE AND FIX WATER LEAKAGE,Plumber,1,120.0,285.0,22.8,307.8
QT-250123-038,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,285.0,22.8,307.8
QT-250123-038,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,285.0,22.8,307.8
QT-250124-051,City Management,CHEMICAL AIR COND SERVICING ( CASSETTE TYE UNIT ) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,537.5,43.0,580.5
QT-250124-051,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,537.5,43.0,580.5
QT-250124-051,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,537.5,43.0,580.5
QT-250123-037,City Management,TO SUPPLY & REPLACE POLYPIPE 25MM SIRIM APPROVED WATER PIPE INCLUDING ACCESSORIES- EXPOSED,Plumber,5,10.2,412.2,32.98,445.18
QT-250123-037,City Management,TO SUPPLY AND REPLACE ELBOW 25MM,Plumber,2,35.0,412.2,32.98,445.18
QT-250123-037,City Management,TO SUPPLY AND REPLACE 2'X4' CEILING BOARD (BELOW SNO5),Plumber,4,15.3,412.2,32.98,445.18
QT-250123-037,City Management,CITY LABOUR CHARGE,Labour Charge,8,16.25,412.2,32.98,445.18
QT-250123-037,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,412.2,32.98,445.18
QT-250124-046,City Management,CHEMICAL AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,340.0,537.5,43.0,580.5
QT-250124-046,City Management,CITY LABOUR CHARGE,Labour Charge,6,16.25,537.5,43.0,580.5
QT-250124-046,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,537.5,43.0,580.5
QT-250124-042,City Management,BASIC AIR COND SERVICING (CEILING EXPOSED TYPE) - 3.0HP TO 5.0HP,Aircon Servicing,1,42.5,335.0,26.8,361.8
QT-250124-042,City Management,TO PERFORM CHEMICAL WASH & CLEAN FOR OUTDOOR ONLY (3-5HP),Aircon Servicing,1,127.5,335.0,26.8,361.8
QT-250124-042,City Management,CITY LABOUR CHARGE,Labour Charge,4,16.25,335.0,26.8,361.8
QT-250124-042,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,335.0,26.8,361.8
QT-250124-049,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,521.25,41.7,562.95
QT-250124-049,City Management,CITY LABOUR CHARGE,Labour Charge,5,16.25,521.25,41.7,562.95
QT-250124-049,City Management,TRANSPORTATION - KLANG VALLEY,Transportation,1,100.0,521.25,41.7,562.95
QT-250124-050,City Management,CHEMICAL AIR COND SERVICING (CASSETTE TYE UNIT) - 4.0HP TO 5.0HP,Aircon Servicing,1,340.0,521.25,41.7,562.95
QT-250124-050,City Management,CITY LABOUR CHARGE,Labour Charge,5,16.25,521.25,41.7,562.95
QT-250124-050,City Management,TRANSPORTATION- KLANG VALLEY,Transportation,1,100.0,521.25,41.7,562.95
QT-250107-006,Espresso (M) SDN BHD,To supply and install new water tap at counter sink (*single tap gooseneck),Plumber,1,180.0,180.0,14.4,194.4
QT-250116-015,Espresso (M) SDN BHD,WELD GULLY TRAP SUPPORT,Plumber,1,400.0,400.0,32.0,432.0
QT-250116-016,Espresso (M) SDN BHD,TO SUPPLY AND REPLACE NEW TOILET CISTERN PUMP (REMOVE EXISTING AND INSTALL NEW),Plumber,1,200.0,400.0,32.0,432.0
QT-250116-016,Espresso (M) SDN BHD,TOILET CISTERN FLOAT BALL,Plumber,1,100.0,400.0,32.0,432.0
QT-250116-016,Espresso (M) SDN BHD,TOILET CISTERN HANDLE/PRESS BUTTON,Plumber,1,100.0,400.0,32.0,432.0
QT-250116-022,Espresso (M) SDN BHD,REPLACE FLEXIBLE HOSE,Plumber,1,180.0,180.0,14.4,194.4
QT-250116-017,Espresso (M) SDN BHD,SEAL PIPE GAP,Plumber,1,180.0,180.0,14.4,194.4
QT-250116-021,Espresso (M) SDN BHD,MODIFY GULLY TRAP TO ALIGN,Plumber,1,400.0,400.0,32.0,432.0
QT-241219-019,FARM SDN BHD,REMOVE TOILET BOWLS,Plumber,2,80.0,4720.0,377.6,5097.6
QT-241219-019,FARM SDN BHD,HACK AND DISPOSAL OF THE FLOOR TILES AND CONCRETE FOR TWO TOILETS,Plumber,2,680.0,4720.0,377.6,5097.6
QT-241219-019,FARM SDN BHD,"INSTALL NEW DRAIN LINES WITH DOWN PIPES, CONNECTING TO MANHOLE AND APPLY WATERPROOFING",Plumber,2,1100.0,4720.0,377.6,5097.6
QT-241219-019,FARM SDN BHD,SUPPLY AND REBUILD CONCRETE FLOOR AND TILES FOR BOTH TOILETS *INCLUDING REINSTALL TOILET BOWLS,Plumber,2,500.0,4720.0,377.6,5097.6
QT-241230-012,LIFE SDN BHD,FIX INTERNAL PIPE LEAKING,Plumber,1,3850.0,3850.0,308.0,4158.0
QLI20240903-002,LIFE SDN BHD,Supply and install brand second hand 1HP aircon,Aircon Installation,3,550.0,1650.0,132.0,1782.0
QT-241220-022,FARM SDN BHD,DESLUDGING WORK AND INSTALLING NETTING FOR DRAIN,Plumber,1,750.0,750.0,60.0,810.0
QT-250102-001,GFXEX,CHEMICAL SERVICE INDOOR AND OUTDOOR WALL UNIT 1HP,Aircon Servicing,1,150.0,750.0,60.0,810.0
QT-250102-001,GFXEX,CHEMICAL SERVICE INDOOR AND OUTDOOR WALL UNIT 2HP,Aircon Servicing,4,150.0,750.0,60.0,810.0
QT-250102-001,GFXEX,GAS TOP-UP IS CHARGED PRICE BELOW: R-410: RM20 PER 10 PSI R-22: RM10 PER 10 PSI R-32: RM20 PER 10 PSI,Aircon Servicing,1,0.0,750.0,60.0,810.0
QT-241222-002,FARM SDN BHD,Inspection charge for broken water tank,Plumber,1,200.0,200.0,16.0,216.0
QT-241224-006,FARM SDN BHD,TO SUPPLY AND REPLACE DAMAGED PIPE,Plumber,1,3500.0,4400.0,352.0,4752.0
QT-241224-006,FARM SDN BHD,TO REPAIR ANY LEAKAGE IN DRAINAGE,Plumber,1,500.0,4400.0,352.0,4752.0
QT-241224-006,FARM SDN BHD,LABOUR COST,Labour Charge,1,400.0,4400.0,352.0,4752.0
QT-241220-021,FARM SDN BHD,TO SUPPLY AND INSTALL DAIKIN 1.5HP WALL MOUNTED R32 GAS (NON-INVERTER),Aircon Installation,1,2180.0,2480.0,198.4,2678.4
QT-241220-021,FARM SDN BHD,TO SUPPLY EXTRA COPPER PIPING,Aircon Installation,12,25.0,2480.0,198.4,2678.4
QT-241217-016,GFXEX,SUPPLY & REFILL R 32 GAS-RM20/ 10PSI,Aircon Servicing,11,20.0,220.0,17.6,237.6
QT-241217-010,LIFE Sdn Bhd,"TO SUPPLY AND INSTALL HAIER WALL MOUNTED 1.0HP R32
• NON-INVERTER
• MODEL : HSU-10LPA23
• DISMANTLE OLD UNIT AND INSTALL NEW UNIT",Aircon Installation,1,1500.0,1500.0,120.0,1620.0
QLI20240910-001,LIFE Sdn Bhd,Repair aircon - Replace fan motor - Labour,Aircon Repair,1,380.0,380.0,30.4,410.4
QT-241217-011,GFXEX,TO REPLACE AND INSTALL NEW COMPRESSOR FAN MOTOR WITH LABOUR,Aircon Servicing,1,540.0,690.0,55.2,745.2
QT-241217-011,GFXEX,CHEMICAL SERVICE INDOOR AND OUTDOOR WALL UNIT 2HP,Aircon Servicing,1,150.0,690.0,55.2,745.2
QT-241217-011,GFXEX,GAS TOP-UP IS CHARGED PRICE BELOW: R-410: RM20 PER 10 PSI R-22: RM10 PER 10 PSI R-32: RM20 PER 10 PSI,Aircon Servicing,1,0.0,690.0,55.2,745.2
QT-241217-012,GFXEX,"SUPPLY AND INSTALL BRAND NEW ACSON 2HP NON-INVERTER AIR CONDITIONER WITH R410 GAS
1 YEAR GENERAL WARRANTY + 5 YEARS MOTOR COMPRESSOR WARRANTY",Aircon Installation,1,3000.0,3560.0,284.8,3844.8
QT-241217-012,GFXEX,REPLACE COPPER PIPE 20FT,Aircon Installation,20,28.0,3560.0,284.8,3844.8
QT-241217-012,GFXEX,DISMANTLE AND DISPOSAL OF OLD UNIT (F.O.C),Aircon Installation,1,0.0,3560.0,284.8,3844.8
QT-241213-004,GFXEX,Chemical service indoor and outdoor wall unit 1HP,Aircon Servicing,1,150.0,1200.0,96.0,1296.0
QT-241213-004,GFXEX,Chemical service indoor and outdoor wall unit 1.5HP,Aircon Servicing,2,150.0,1200.0,96.0,1296.0
QT-241213-004,GFXEX,Chemical service indoor and outdoor wall unit 2HP,Aircon Servicing,5,150.0,1200.0,96.0,1296.0
QT-241213-005,City Management,SUPPLY AND INSTALL COMPRESSOR C/W WELDING,Aircon Servicing,1,2690.0,3500.5,280.04,3780.54
QT-241213-005,City Management,SUPPLY & REPLACE FILTER DRIER C/W WELDING OR FLARE NUT,Aircon Servicing,1,68.0,3500.5,280.04,3780.54
QT-241213-005,City Management,"TO VACUUM, REFILL R507 REFRIGERANT GAS W/ TESTING",Aircon Servicing,1,350.0,3500.5,280.04,3780.54
QT-241213-005,City Management,TRANSPORT CHARGES WITHIN KLANG VALLEY,Transportation,1,100.0,3500.5,280.04,3780.54
QT-241213-005,City Management,LABOUR,Labour Charge,18,16.25,3500.5,280.04,3780.54
IPM241231-001,FARM SDN BHD,"OPEN MAN DRAINED WHOLE AND CLEAN ALL THE PIPES, CLEAN SUB DRAINED AND CLEAN ALL THE PIPES 02 UNITS, REMOVE CLOGGED AND REMOVE FOREIGN OBJECT INSIDE BLOCKS",Plumber,1,1150.0,1150.0,92.0,1242.0
QJI20210901-002,OBN GROUP SDN BHD,"Supply and install air curtain c/w wiring, testing and commissioning",Aircon Installation,5,1050.0,5250.0,315.0,5565.0
QJI20210804-001,OBN GROUP SDN BHD,"Regular chemical servicing of aircon units across Klang Valley
-Mixed of cassette and ceiling unit up to 5HP
-2 times servicing a year
-Cleaning and washing of indoor air filters
-Cleaning and washing indoor evaporator coil
-Cleaning of blower and fan blade
-Cleaning of indoor unit housing
-Cleaning and check-up of outdoor unit
-Check for abnormal noises, adjust and calibrate
-Check gas level of your AC systems
",Aircon Servicing,45,175.0,15750.0,945.0,16695.0
QJI20210604-001,OBN GROUP SDN BHD,"Cassette aircon chemical service - Include troubleshooting, testing and commisioning",Aircon Servicing,1,250.0,340.0,20.4,360.4
QJI20210604-001,OBN GROUP SDN BHD,Gas top-up 20PSI,Aircon Servicing,1,40.0,340.0,20.4,360.4
QJI20210604-001,OBN GROUP SDN BHD,Flushing of drainage pipe,Aircon Servicing,1,50.0,340.0,20.4,360.4
QJI20210813-001,OBN GROUP SDN BHD,"Regular chemical servicing of aircon units across Klang Valley
-Mixed of cassette and ceiling unit up to 5HP
-2 times servicing a year
-Cleaning and washing of indoor air filters
-Cleaning and washing indoor evaporator coil
-Cleaning of blower and fan blade
-Cleaning of indoor unit housing
-Cleaning and check-up of outdoor unit
-Check for abnormal noises, adjust and calibrate
-Check gas level of your AC systems",Aircon Servicing,54,175.0,18900.0,1134.0,20034.0
QJI20210605-003,OBN GROUP SDN BHD,"Flushing of drainage pipe - Include troubleshooting, testing and commisioning",Aircon Servicing,1,50.0,110.0,6.6,116.6
QJI20210605-003,OBN GROUP SDN BHD,R410 30 PSI gas top-up,Aircon Servicing,1,60.0,110.0,6.6,116.6
